Laundering Attack,LaA_Parameter,CQCC-GMM,LFCC-GMM,LFCC-LCNN,Ocsoftmax,Rawnet2,RawGat_ST,AASIST
RT,0.3,41.13,22.4,16,9.01,32.81,27.21,36.4
RT,0.6,48.47,22.9,20.68,15.06,41.45,43.02,55.27
RT,0.9,51.55,25.96,26.67,22.04,43,48.69,58.9
RT,avg,47.05,23.75,21.12,15.37,39.09,39.64,50.19
Babble,20,47.05,24.61,9.53,11.24,4.76,1.7,2.33
Babble,10,28.56,28.5,18.39,19.16,8.44,20.78,17.65
Babble,0,28.74,27.27,34.77,34.25,26.97,24.84,33.39
Babble,avg,34.78,26.79,20.9,21.55,13.39,15.77,17.79
Volvo,20,15.65,6.02,6.63,15.05,4.77,1.51,1.76
Volvo,10,27.53,13.41,7.17,22.05,5.76,5.91,5.52
Volvo,0,37.92,11.02,8.83,29.25,8.73,19.71,10.48
Volvo,avg,27.03,10.15,7.54,22.12,6.42,9.04,5.92
WN,20,37.58,30.14,21.36,12.87,5.43,1.2,3.95
WN,10,43.78,24.14,30.06,14.37,7.88,20.16,12.66
WN,0,42.24,22.74,28.88,17.65,15.12,33.85,41.31
WN,avg,41.2,25.67,26.77,14.96,9.48,18.4,19.31
Cafe,20,33.32,35.29,12.5,22.35,5.09,2.06,2.81
Cafe,10,36.69,40.46,19.43,28.82,8.93,19.16,14.74
Cafe,0,38.22,43.21,27.46,31.49,24.23,23.97,38.48
Cafe,avg,36.08,39.65,19.8,27.55,12.75,15.06,18.68
Street,20,39.49,38.79,9.66,18.14,5.09,2.35,2.9
Street,10,40.45,46.29,17.54,24.86,12.1,17.63,21.26
Street,0,29.68,46.67,30.03,33.84,32.47,32.03,40.08
Street,avg,36.54,43.92,19.08,25.61,16.55,17.34,21.41